year,year_month,product_category_name_english,order_items_count,distinct_orders,revenue,avg_freight_ratio,avg_review_score,late_delivery_rate
2017,2017-02,fashion_shoes,3,2,157.37,0.31218236544089134,4.333333333333333,0.0
2017,2017-02,fashion_underwear_beach,8,6,507.83,0.24616776770858126,4.0,0.3333333333333333
2017,2017-02,fixed_telephony,22,18,1124.89,0.40296498453088175,4.136363636363637,0.0
2017,2017-02,food,9,9,930.2,0.33432688571552566,3.888888888888889,0.1111111111111111
2017,2017-02,furniture_bedroom,1,1,501.88,0.10337132382242767,5.0,0.0
2017,2017-02,furniture_decor,266,221,26262.32,0.24370096636470306,3.8333333333333335,0.05429864253393665
2017,2017-02,furniture_living_room,24,15,4841.4,0.22527106974391864,3.739130434782609,0.06666666666666667
2017,2017-02,garden_tools,72,63,14745.3,0.17471284109606858,3.971830985915493,0.015873015873015872
2017,2017-02,health_beauty,166,155,26130.08,0.22368874133193195,4.080246913580247,0.01935483870967742
2017,2017-02,home_appliances,7,7,855.4,0.16689916428498464,4.142857142857143,0.0
2017,2017-02,home_appliances_2,1,1,30.11,0.46894719362338094,5.0,0.0
2017,2017-02,home_confort,3,3,471.27,0.13776474022754612,3.0,0.0
2017,2017-02,home_construction,4,3,764.57,0.09128987966771279,5.0,0.0
2017,2017-02,housewares,81,68,14207.49,0.27428551119509553,3.759493670886076,0.029411764705882353
2017,2017-02,industry_commerce_and_business,1,1,134.94,0.11812657477397362,5.0,0.0
2017,2017-02,kitchen_dining_laundry_garden_furniture,2,2,178.33,0.2630867325205156,4.0,0.0
2017,2017-02,luggage_accessories,21,20,2136.16,0.21048848825807678,4.333333333333333,0.0
2017,2017-02,market_place,22,19,2122.5,0.27088477216439294,4.0476190476190474,0.0
2017,2017-02,musical_instruments,10,8,2501.11,0.220074293603637,4.5,0.0
2017,2017-02,office_furniture,63,53,13900.0,0.16578171222938318,3.5873015873015874,0.018867924528301886
2017,2017-02,perfumery,51,49,8944.28,0.1640086976971085,4.235294117647059,0.04081632653061224
2017,2017-02,pet_shop,40,37,4510.88,0.2041468947625881,4.325,0.0
2017,2017-02,small_appliances,28,25,8022.25,0.16506914537125808,4.678571428571429,0.0
2017,2017-02,sports_leisure,156,139,19389.03,0.20965140357052317,4.1688311688311686,0.014388489208633094
2017,2017-02,stationery,19,19,2646.03,0.15308393768784373,4.526315789473684,0.05263157894736842
2017,2017-02,tablets_printing_image,8,8,940.52,0.15643055412977336,4.25,0.0
2017,2017-02,telephony,111,100,8647.34,0.32757398633829576,4.08256880733945,0.07
2017,2017-02,toys,67,62,10601.29,0.19246611711728936,4.2835820895522385,0.016129032258064516
2017,2017-02,watches_gifts,37,35,12370.67,0.11780174653968288,4.0,0.0
2017,2017-02,Unknown,58,52,10090.89,0.25885343572236713,3.8620689655172415,0.1346153846153846
2017,2017-03,agro_industry_and_commerce,2,2,110.69,0.2943863901067395,2.0,0.0
2017,2017-03,air_conditioning,17,16,4390.56,0.14875468320991933,4.411764705882353,0.0
2017,2017-03,art,5,5,320.84,0.3791619224143442,4.0,0.0
2017,2017-03,audio,14,13,1367.4,0.19030637476059709,3.857142857142857,0.07692307692307693
2017,2017-03,auto,87,76,16755.73,0.1925792625232346,4.080459770114943,0.10526315789473684
2017,2017-03,baby,44,43,4486.33,0.2190431378128605,4.25,0.046511627906976744
2017,2017-03,bed_bath_table,296,249,31432.42,0.2043958048736326,3.9507042253521125,0.05220883534136546
2017,2017-03,books_general_interest,25,20,3087.56,0.16985199091834502,4.24,0.05
2017,2017-03,books_technical,2,2,103.74,0.2839882042157123,5.0,0.0
2017,2017-03,computers_accessories,174,150,31873.84,0.24686259976568795,3.854651162790698,0.07333333333333333
2017,2017-03,consoles_games,50,48,11743.86,0.1417461422777526,3.857142857142857,0.08333333333333333
2017,2017-03,construction_tools_construction,4,4,895.42,0.15857066608011292,1.75,0.0
2017,2017-03,construction_tools_safety,2,2,425.76,0.10704126876226511,1.0,0.0
2017,2017-03,cool_stuff,123,121,23389.43,0.14482100888070665,4.414634146341464,0.049586776859504134
2017,2017-03,drinks,5,4,568.43,0.2897240636459861,3.6,0.0
2017,2017-03,dvds_blu_ray,5,4,1963.43,0.3374759177399598,3.2,0.0
2017,2017-03,electronics,37,32,4655.16,0.23855171054942403,4.351351351351352,0.0625
2017,2017-03,fashio_female_clothing,1,1,30.86,0.35515230071289694,3.0,0.0
2017,2017-03,fashion_bags_accessories,68,62,5893.33,0.2302667799613822,4.3283582089552235,0.03225806451612903
2017,2017-03,fashion_male_clothing,9,7,721.36,0.26442298442378004,4.0,0.0
2017,2017-03,fashion_shoes,14,13,1746.18,0.19268354049379705,4.571428571428571,0.0
2017,2017-03,fashion_sport,1,1,54.01,0.2612479170523977,5.0,0.0
2017,2017-03,fashion_underwear_beach,6,6,460.62,0.2458141426346145,3.8333333333333335,0.0
2017,2017-03,fixed_telephony,21,15,1919.13,0.2281562686360908,3.142857142857143,0.0
2017,2017-03,food,24,22,3158.99,0.20837216936833977,3.9583333333333335,0.045454545454545456
2017,2017-03,food_drink,5,5,168.89,0.37789848545326316,5.0,0.0
2017,2017-03,furniture_decor,329,265,29669.86,0.245191948111427,3.9723076923076923,0.07547169811320754
2017,2017-03,furniture_living_room,24,17,4035.67,0.1904760144582119,4.173913043478261,0.058823529411764705
2017,2017-03,garden_tools,150,121,27004.32,0.23433304431535767,3.931972789115646,0.01652892561983471
2017,2017-03,health_beauty,211,193,29852.87,0.21290112574027237,4.276190476190476,0.046632124352331605
2017,2017-03,home_appliances,10,9,466.25,0.3298131951492194,4.333333333333333,0.0
2017,2017-03,home_appliances_2,2,2,568.43,0.3319752441758299,4.0,0.5
2017,2017-03,home_comfort_2,3,3,390.89,0.22781514075529427,4.666666666666667,0.0
2017,2017-03,home_confort,13,12,2380.79,0.1723338941296404,3.769230769230769,0.25
2017,2017-03,home_construction,10,5,718.69,0.294907972387417,4.333333333333333,0.0
2017,2017-03,housewares,209,178,17391.52,0.29289528630294376,4.097087378640777,0.06179775280898876
2017,2017-03,industry_commerce_and_business,2,2,282.03,0.15606632288220829,4.0,0.0
